附表2-1-4省(自治区、直辖市)选用水文监测站,,,,,,,,,,,,,,,,,
测站(井)名称,代码,所在,,,集水面积(km2),监测项目*1,地址(县、乡、村),地理座标,,,,,,主管机构,备注*2,,
,,水资源三级区,地级行政区,河流,,,,东经,,,北纬,,,,,,
,,,,,,,,。,′,″,。,′,″,,,,
古城(二),11300171,江桥以下,齐齐哈尔市,鳌龙河,857,水位、流量、降水,克山县古城镇,125,34,18,47,55,50,黑龙江省水文局,,A,
红星,11320100,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省北安市红星农场,126,57,42,48,08,19,黑龙江省气象局,,A,
靠山,11320120,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省北安市东风种畜场,126,43,27,48,16,46,黑龙江省水文局,,A,
克东,11320150,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省克东县克东镇,126,14,25,48,02,10,黑龙江省气象局,,A,
克山,11320190,江桥以下,齐齐哈尔市,新华西沟,,降水,黑龙江省克山县克山镇,125,52,30,48,02,30,黑龙江省水文局,,A,
林甸,11320580,江桥以下,齐齐哈尔市,江北湿地,,降水,黑龙江省林甸县林甸镇,124,52,10,47,10,55,黑龙江省气象局,,A,
龙安桥,11320490,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省富裕县龙安桥镇,124,26,17,47,31,26,黑龙江省水文局,,A,
廿棵树,11320510,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省林甸县三合乡南岗砖厂,124,31,50,47,17,50,黑龙江省水文局,,A,
乾丰,11320260,江桥以下,齐齐哈尔市,润津沟,,降水,黑龙江省克东县乾丰镇,126,14,40,47,46,35,黑龙江省水文局,,A,
三兴,11320450,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省依安县三兴镇,125,02,00,47,36,55,黑龙江省水文局,,A,
双河,11320290,江桥以下,齐齐哈尔市,润津沟,,降水,黑龙江省克山县双河乡,125,53,10,47,56,10,黑龙江省水文局,,A,
双河(二),11300161,江桥以下,齐齐哈尔市,润津河,1175,水位、流量,克山县双河乡,125,53,20,47,55,27,黑龙江省水文局,,A,
双阳,11300200,江桥以下,齐齐哈尔市,双阳河,1884,水位、流量、降水,依安县双阳乡,125,35,35,47,33,15,黑龙江省水文局,,A,
泰康,11320590,江桥以下,齐齐哈尔市,江北湿地,,降水,黑龙江省杜蒙自治县泰康镇,124,26,10,46,52,00,黑龙江省气象局,,A,
通南,11320440,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省讷河县通南镇,125,00,50,48,08,20,黑龙江省水文局,,A,
团结,11320250,江桥以下,齐齐哈尔市,润津沟,,降水,黑龙江省克东县昌盛乡,126,24,10,47,49,40,黑龙江省水文局,,A,
西城,11320340,江桥以下,齐齐哈尔市,太溪河,,降水,黑龙江省克山县西城镇,125,28,55,48,10,12,黑龙江省水文局,,A,
新启,11320300,江桥以下,齐齐哈尔市,螯龙沟,,降水,黑龙江省克山县河北乡新启村,126,00,00,48,13,00,黑龙江省水文局,,A,
烟筒屯,11320520,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省杜蒙自治县烟筒屯镇,124,09,30,47,0,15,黑龙江省水文局,,A,
腰店,11320090,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省北安市通北林业局,127,22,19,48,01,11,黑龙江省水文局,,A,
依安,11320370,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省依安县依安镇,125,18,15,47,52,20,黑龙江省水文局,,A,
依安大桥,11300075,江桥以下,齐齐哈尔市,乌裕尔河,8224,水位、流量,依安县依安镇,125,18,32,47,51,30,黑龙江省水文局,,A,
赵光,11320110,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省北安市赵光农场,126,44,30,48,04,27,黑龙江省气象局,,A,
中兴(双阳河),11320560,江桥以下,齐齐哈尔市,双阳河,,降水,黑龙江省拜泉县龙泉乡卫星村,125,58,45,47,24,50,黑龙江省水文局,,A,
阿力得尔(二),11400105,江桥以下,兴安盟,阿德河,2106,水位、径流、降水,科右前旗阿力得尔苏木光明屯,121,0,,46,15,,内蒙古水文总局,,A,
安广,11420310,江桥以下,白城市,洮儿河,,降水,大安市安广乡,123,47,,45,35,,吉林省水文局,,A,
白狼,11420010,江桥以下,兴安盟,洮尔河,,降水,科尔沁右翼前旗阿尔山镇白狼,120,6,,47,3,,内蒙古水文总局,,A,
宝泉,,江桥以下,白城市,洮儿河,,降雨、水位、径流,洮南市巨宝乡,122,02,,45,40,,吉林市省水文总局,,A,
保隆(二),11400098,江桥以下,兴安盟,巴拉格歹河,217,水位、径流、泥沙、降水、蒸发,科右前旗古迹乡保隆屯,121,28,,46,4,,,,A,
察尔森(四)(河道),11400032,江桥以下,兴安盟,洮尔河,7827,水位、径流、降水、蒸发,科右前旗察尔森镇,121,54,,46,19,,内蒙古水文总局,,A,
岔台,11420300,江桥以下,白城市,二龙涛河,,降水,镇赉县岔台乡,123,30,,45,51,,吉林省水文局,,A,
大石寨(三),11400093,江桥以下,兴安盟,归流河,7656,水位、径流、泥沙、降水、蒸发,科右前旗大石寨镇芒罕屯,121,21,,46,17,,内蒙古水文总局,,A,
复兴屯,11420100,江桥以下,兴安盟,阿德河,,降水,科尔沁右翼前旗树木沟乡复兴屯,120,37,,46,2,,内蒙古水文总局,,A,
黑帝庙(三),11400070,江桥以下,白城市,洮儿河,,降雨、水位、径流,镇县到保镇,123,13,,45,34,,吉林市省水文总局,,A,
六户,11420170,江桥以下,兴安盟,蛟流河,,降水,突泉县六户镇,121,24,,45,40,,内蒙古水文总局,,A,
那金,11420240,江桥以下,白城市,那金河,,降水,洮南市那金乡,122,04,,45,48,,吉林省水文局,,A,
农业,11420220,江桥以下,白城市,那金河,,降水,洮南市万宝镇永红屯,121,49,,45,46,,吉林省水文局,,A,
三顶昭,,江桥以下,白城市,洮儿河,,分洪,洮南市向阳乡,122,54,,45,22,,吉林市省水文总局,,A,
