OID_,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,Zhenyuan Fu,镇远府,鎮遠府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guizhou,贵州,0.000000000000000,POLYGON,1919,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,108.564570000000003,26.849160000000001,11739.2001953
,Liping Fu,黎平府,黎平府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guizhou,贵州,0.000000000000000,POLYGON,1906,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,108.821349999999995,26.017920000000000,11563.2998047
,Guilin Fu,桂林府,桂林府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangxi,广西,0.000000000000000,POLYGON,1921,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,110.549949999999995,25.426110000000001,23447.9003906
,Lianzhou Fu,廉州府,廉州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2058,FROM_FD,满志敏,满志敏, ,2002/10/31,108.668999999999997,21.872280000000000,18015.3007813
,Nanning Fu,南宁府,南寧府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangxi,广西,0.000000000000000,POLYGON,1930,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,108.432990000000004,22.578720000000001,17047.6992188
,Taiping Fu,太平府,太平府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangxi,广西,0.000000000000000,POLYGON,1927,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,107.196969999999993,22.503419999999998,14887.9003906
,Yulin Zhou,郁林州,郁林州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangxi,广西,0.000000000000000,POLYGON,1923,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,110.164709999999999,22.325430000000001,10758.5000000
,Xunzhou Fu,浔州府,潯州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangxi,广西,0.000000000000000,POLYGON,1929,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,109.884529999999998,23.346579999999999,13306.0000000
,Wuzhou Fu,梧州府,梧州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangxi,广西,0.000000000000000,POLYGON,1920,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,110.954759999999993,23.315320000000000,16202.7001953
,Ganzhou Fu,赣州府,贛州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangxi,江西,0.000000000000000,POLYGON,1986,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,115.089370000000002,25.574819999999999,23743.9003906
,Jianchang Fu,建昌府,建昌府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangxi,江西,0.000000000000000,POLYGON,1992,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,116.644689999999997,27.184090000000001,8280.2001953
,Jiujiang Fu,九江府,九江府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangxi,江西,0.000000000000000,POLYGON,1987,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,116.021190000000004,29.635909999999999,6392.8300781
